ensembl_id,gene_id,Description
ENSRNOG00000012954,Eefsec,"eukaryotic elongation factor, selenocysteine-tRNA-specific"
ENSRNOG00000012956,Tgm2,transglutaminase 2
ENSRNOG00000012957,Sh3glb1,SH3 domain -containing GRB2-like endophilin B1
ENSRNOG00000012959,Nab1,Ngfi-A binding protein 1
ENSRNOG00000012960,Uap1l1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
ENSRNOG00000012962,Nudt16,nudix hydrolase 16
ENSRNOG00000012965,Themis2,thymocyte selection associated family member 2
ENSRNOG00000012972,Alox5,arachidonate 5-lipoxygenase
ENSRNOG00000012975,Ggcx,gamma-glutamyl carboxylase
ENSRNOG00000012980,Hyls1,"HYLS1, centriolar and ciliogenesis associated"
ENSRNOG00000012982,Map9,microtubule-associated protein 9
ENSRNOG00000012985,Pfdn5,prefoldin subunit 5
ENSRNOG00000012988,Lix1,limb and CNS expressed 1
ENSRNOG00000012991,Adgra2,adhesion G protein-coupled receptor A2
ENSRNOG00000012994,Pus3,pseudouridine synthase 3
ENSRNOG00000012995,Gpr165,G protein-coupled receptor 165
ENSRNOG00000012999,Phb2,prohibitin 2
ENSRNOG00000013000,Ldhb,lactate dehydrogenase B
ENSRNOG00000013002,Gpbp1,GC-rich promoter binding protein 1
ENSRNOG00000013005,Rpa2,replication protein A2
ENSRNOG00000013009,Ldha,lactate dehydrogenase A
ENSRNOG00000013011,Dnajb4,DnaJ heat shock protein family (Hsp40) member B4
ENSRNOG00000013013,Tle3,"TLE family member 3, transcriptional corepressor"
ENSRNOG00000013014,Cyba,cytochrome b-245 alpha chain
ENSRNOG00000013017,Arnt2,aryl hydrocarbon receptor nuclear translocator 2
ENSRNOG00000013023,Nop53,NOP53 ribosome biogenesis factor
ENSRNOG00000013024,Csgalnact1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
ENSRNOG00000013030,Pip4k2b,phosphatidylinositol-5-phosphate 4-kinase type 2 beta
ENSRNOG00000013035,Rab33b,"RAB33B, member RAS oncogene family"
ENSRNOG00000013036,Epha8,Eph receptor A8
ENSRNOG00000013039,Add1,adducin 1
ENSRNOG00000013040,Ddx31,DEAD-box helicase 31
ENSRNOG00000013042,Htr1b,5-hydroxytryptamine receptor 1B
ENSRNOG00000013045,Setd7,"SET domain containing 7, histone lysine methyltransferase"
ENSRNOG00000013046,Tram2,translocation associated membrane protein 2
ENSRNOG00000013048,Pde7a,phosphodiesterase 7A
ENSRNOG00000013053,Trpm6,"transient receptor potential cation channel, subfamily M, member 6"
ENSRNOG00000013055,Zfyve16,zinc finger FYVE-type containing 16
ENSRNOG00000013057,Prc1,protein regulator of cytokinesis 1
ENSRNOG00000013059,Aste1,asteroid homolog 1
ENSRNOG00000013061,Tusc3,tumor suppressor candidate 3
ENSRNOG00000013064,Lrp8,LDL receptor related protein 8
ENSRNOG00000013067,Phf21b,PHD finger protein 21B
ENSRNOG00000013069,Sapcd2,suppressor APC domain containing 2
ENSRNOG00000013072,Plxna4,plexin A4
ENSRNOG00000013076,Csnk1e,"casein kinase 1, epsilon"
ENSRNOG00000013078,Zcchc7,zinc finger CCHC-type containing 7
ENSRNOG00000013085,Nkain3,Sodium/potassium transporting ATPase interacting 3
ENSRNOG00000013089,Kif13b,kinesin family member 13B
ENSRNOG00000013090,Gadd45g,"growth arrest and DNA-damage-inducible, gamma"
ENSRNOG00000013092,Lonrf3,LON peptidase N-terminal domain and ring finger 3
ENSRNOG00000013101,Pcdh8,protocadherin 8
ENSRNOG00000013102,Entpd2,ectonucleoside triphosphate diphosphohydrolase 2
ENSRNOG00000013110,Nudt2,nudix hydrolase 2
ENSRNOG00000013111,Mettl3,methyltransferase-like 3
ENSRNOG00000013118,Atox1,antioxidant 1 copper chaperone
ENSRNOG00000013121,Mier3,MIER family member 3
ENSRNOG00000013123,Scube2,"signal peptide, CUB domain and EGF like domain containing 2"
ENSRNOG00000013128,Tmem179,transmembrane protein 179
ENSRNOG00000013135,Ptpn12,"protein tyrosine phosphatase, non-receptor type 12"
ENSRNOG00000013136,Oxsr1,oxidative stress responsive kinase 1
ENSRNOG00000013140,Pdzd2,PDZ domain containing 2
ENSRNOG00000013141,Eno2,enolase 2
ENSRNOG00000013147,Cacna1d,calcium voltage-gated channel subunit alpha1 D
ENSRNOG00000013148,Rad54l,RAD54 like
ENSRNOG00000013149,Vps33b,"VPS33B, late endosome and lysosome associated"
ENSRNOG00000013152,Arhgap10,Rho GTPase activating protein 10
ENSRNOG00000013160,Sash1,SAM and SH3 domain containing 1
ENSRNOG00000013162,Zcchc12,zinc finger CCHC-type containing 12
ENSRNOG00000013165,Bet1l,Bet1 golgi vesicular membrane trafficking protein-like
ENSRNOG00000013166,Wnt4,Wnt family member 4
ENSRNOG00000013167,Hmgb2,high mobility group box 2
ENSRNOG00000013169,Traf4,Tnf receptor associated factor 4
ENSRNOG00000013170,Il13ra1,interleukin 13 receptor subunit alpha 1
ENSRNOG00000013171,Grm2,glutamate metabotropic receptor 2
ENSRNOG00000013172,Nr1h3,"nuclear receptor subfamily 1, group H, member 3"
ENSRNOG00000013176,Far1,fatty acyl CoA reductase 1
ENSRNOG00000013177,Map3k1,mitogen-activated protein kinase kinase kinase 1
ENSRNOG00000013178,Cmip,c-Maf-inducing protein
ENSRNOG00000013179,Tinagl1,tubulointerstitial nephritis antigen-like 1
ENSRNOG00000013180,Ercc3,"ERCC excision repair 3, TFIIH core complex helicase subunit"
ENSRNOG00000013186,G3bp1,G3BP stress granule assembly factor 1
ENSRNOG00000013190,Rnaset2,ribonuclease T2
ENSRNOG00000013194,Rps6ka2,ribosomal protein S6 kinase A2
ENSRNOG00000013195,Ruvbl1,RuvB-like AAA ATPase 1
ENSRNOG00000013196,Dok5,docking protein 5
ENSRNOG00000013201,Tex264,testis expressed 264
ENSRNOG00000013202,Akap7,A-kinase anchoring protein 7
ENSRNOG00000013211,Chchd3,coiled-coil-helix-coiled-coil-helix domain containing 3
ENSRNOG00000013213,Epha4,Eph receptor A4
ENSRNOG00000013215,Dctd,dCMP deaminase
ENSRNOG00000013216,Usb1,U6 snRNA biogenesis phosphodiesterase 1
ENSRNOG00000013217,Ttc33,tetratricopeptide repeat domain 33
ENSRNOG00000013220,Arhgap45,Rho GTPase activating protein 45
ENSRNOG00000013223,Fah,fumarylacetoacetate hydrolase
ENSRNOG00000013228,Scrg1,stimulator of chondrogenesis 1
ENSRNOG00000013229,Mthfs,methenyltetrahydrofolate synthetase
ENSRNOG00000013231,Ptafr,platelet-activating factor receptor
ENSRNOG00000013232,Nr6a1,"nuclear receptor subfamily 6, group A, member 1"
ENSRNOG00000013234,Ccdc115,coiled-coil domain containing 115
ENSRNOG00000013236,Samd8,sterile alpha motif domain containing 8
ENSRNOG00000013237,AABR07027925.1,
ENSRNOG00000013238,Tmem14a,transmembrane protein 14A
ENSRNOG00000013239,Tle4,"TLE family member 4, transcriptional corepressor"
ENSRNOG00000013240,Ptger4,prostaglandin E receptor 4
ENSRNOG00000013243,Fndc11,fibronectin type III domain containing 11
ENSRNOG00000013248,Wwc2,WW and C2 domain containing 2
ENSRNOG00000013250,Pdcd5,programmed cell death 5
ENSRNOG00000013251,Trim24,tripartite motif-containing 24
ENSRNOG00000013252,Cwc27,CWC27 spliceosome associated cyclophilin
ENSRNOG00000013253,Armc1,armadillo repeat containing 1
ENSRNOG00000013254,Dctn6,dynactin subunit 6
ENSRNOG00000013255,Dnajc8,DnaJ heat shock protein family (Hsp40) member C8
ENSRNOG00000013256,Ric8a,RIC8 guanine nucleotide exchange factor A
ENSRNOG00000013257,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
ENSRNOG00000013260,Calr3,calreticulin 3
ENSRNOG00000013263,Ccdc151,coiled-coil domain containing 151
ENSRNOG00000013265,Tgfbr2,"transforming growth factor, beta receptor 2"
ENSRNOG00000013267,Helz2,helicase with zinc finger 2
ENSRNOG00000013269,Tnfsf10,TNF superfamily member 10
ENSRNOG00000013271,Ireb2,iron responsive element binding protein 2
ENSRNOG00000013280,Olfm4,olfactomedin 4
ENSRNOG00000013281,Mib1,mindbomb E3 ubiquitin protein ligase 1
ENSRNOG00000013282,Mctp1,multiple C2 and transmembrane domain containing 1
ENSRNOG00000013285,Imp4,IMP U3 small nucleolar ribonucleoprotein 4
ENSRNOG00000013286,Pdcl3,phosducin-like 3
ENSRNOG00000013287,Sall2,spalt-like transcription factor 2
ENSRNOG00000013288,Xpo7,exportin 7
ENSRNOG00000013290,Nrip3,nuclear receptor interacting protein 3
ENSRNOG00000013293,Mccc1,methylcrotonoyl-CoA carboxylase 1
ENSRNOG00000013300,Atp5if1,ATP synthase inhibitory factor subunit 1
ENSRNOG00000013301,Bean1,"brain expressed, associated with NEDD4, 1"
ENSRNOG00000013304,Arg1,arginase 1
ENSRNOG00000013305,Atp2c1,ATPase secretory pathway Ca2+ transporting 1
ENSRNOG00000013306,Pcdh20,protocadherin 20
ENSRNOG00000013309,Pik3ap1,phosphoinositide-3-kinase adaptor protein 1
ENSRNOG00000013312,Kcnt2,potassium sodium-activated channel subfamily T member 2
ENSRNOG00000013313,Nceh1,neutral cholesterol ester hydrolase 1
ENSRNOG00000013314,Avl9,AVL9 cell migration associated
ENSRNOG00000013317,RGD1565222,similar to RIKEN cDNA 4931414P19
ENSRNOG00000013320,RGD1561916,similar to testes development-related NYD-SP22 isoform 1
ENSRNOG00000013321,Dock11,dedicator of cytokinesis 11
ENSRNOG00000013322,Pola1,"DNA polymerase alpha 1, catalytic subunit"
ENSRNOG00000013323,Rnf217,ring finger protein 217
ENSRNOG00000013324,Cdh5,cadherin 5
ENSRNOG00000013326,Hmbox1,homeobox containing 1
ENSRNOG00000013328,Rbpms,"RNA binding protein, mRNA processing factor"
ENSRNOG00000013330,Cdhr1,cadherin-related family member 1
ENSRNOG00000013331,Sdha,succinate dehydrogenase complex flavoprotein subunit A
ENSRNOG00000013336,Wdr70,WD repeat domain 70
ENSRNOG00000013339,Gmeb2,glucocorticoid modulatory element binding protein 2
ENSRNOG00000013340,Twsg1,twisted gastrulation BMP signaling modulator 1
ENSRNOG00000013343,Myg1,melanocyte proliferating gene 1
ENSRNOG00000013351,Stxbp5,syntaxin binding protein 5
ENSRNOG00000013353,Tmem260,transmembrane protein 260
ENSRNOG00000013356,Snapin,SNAP-associated protein
ENSRNOG00000013358,Aqp11,aquaporin 11
ENSRNOG00000013360,Prkcsh,protein kinase C substrate 80K-H
ENSRNOG00000013364,Hey2,hes-related family bHLH transcription factor with YRPW motif 2
ENSRNOG00000013368,Plcl2,phospholipase C-like 2
ENSRNOG00000013370,Gfer,"growth factor, augmenter of liver regeneration"
ENSRNOG00000013372,Shisal2b,shisa like 2B
ENSRNOG00000013376,Mvd,mevalonate diphosphate decarboxylase
ENSRNOG00000013379,Zfp422,zinc finger protein 422
ENSRNOG00000013380,Rhov,ras homolog family member V
ENSRNOG00000013381,Tsg101,tumor susceptibility 101
ENSRNOG00000013383,Tmub1,transmembrane and ubiquitin-like domain containing 1
ENSRNOG00000013386,Psmb5,proteasome 20S subunit beta 5
ENSRNOG00000013387,Tpcn2,two pore segment channel 2
ENSRNOG00000013388,Pgap1,post-GPI attachment to proteins inositol deacylase 1
ENSRNOG00000013389,Rgs7bp,regulator of G-protein signaling 7 binding protein
ENSRNOG00000013390,Kbtbd8,kelch repeat and BTB domain containing 8
ENSRNOG00000013391,Sorbs2,sorbin and SH3 domain containing 2
ENSRNOG00000013393,Eif2a,eukaryotic translation initiation factor 2A
ENSRNOG00000013397,Foxo1,forkhead box O1
ENSRNOG00000013399,Minar1,membrane integral NOTCH2 associated receptor 1
ENSRNOG00000013407,Slc5a11,solute carrier family 5 member 11
ENSRNOG00000013408,Npas2,neuronal PAS domain protein 2
ENSRNOG00000013409,Gclm,"glutamate cysteine ligase, modifier subunit"
ENSRNOG00000013411,Nup155,nucleoporin 155
ENSRNOG00000013412,Creb1,cAMP responsive element binding protein 1
ENSRNOG00000013413,Rorb,RAR-related orphan receptor B
ENSRNOG00000013415,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18"
ENSRNOG00000013419,Hykk,hydroxylysine kinase
ENSRNOG00000013422,Med23,mediator complex subunit 23
ENSRNOG00000013423,Nup50,nucleoporin 50
ENSRNOG00000013428,Atp6v0a4,ATPase H+ transporting V0 subunit a4
ENSRNOG00000013429,Tbl3,transducin (beta)-like 3
ENSRNOG00000013431,Rsbn1l,round spermatid basic protein 1-like
ENSRNOG00000013436,Pde7b,phosphodiesterase 7B
ENSRNOG00000013438,Yae1,YAE1 maturation factor of ABCE1
ENSRNOG00000013441,Gnrh1,gonadotropin releasing hormone 1
ENSRNOG00000013442,Ciz1,CDKN1A interacting zinc finger protein 1
ENSRNOG00000013443,Tm9sf3,transmembrane 9 superfamily member 3
ENSRNOG00000013445,Aaas,aladin WD repeat nucleoporin
ENSRNOG00000013446,Nif3l1,NGG1 interacting factor 3 like 1
ENSRNOG00000013451,Drosha,drosha ribonuclease III
ENSRNOG00000013452,Rcn1,reticulocalbin 1
ENSRNOG00000013454,Rala,RAS like proto-oncogene A
ENSRNOG00000013456,Ighmbp2,immunoglobulin mu DNA binding protein 2
ENSRNOG00000013459,Ints9,integrator complex subunit 9
ENSRNOG00000013460,Zfp319,zinc finger protein 319
ENSRNOG00000013461,Ralbp1,ralA binding protein 1
ENSRNOG00000013463,Kcnj8,"potassium inwardly-rectifying channel, subfamily J, member 8"
ENSRNOG00000013465,Tepp,"testis, prostate and placenta expressed"
ENSRNOG00000013468,Prxl2b,peroxiredoxin like 2B
ENSRNOG00000013469,Txndc5,thioredoxin domain containing 5
ENSRNOG00000013474,Casz1,castor zinc finger 1
ENSRNOG00000013479,Stard7,StAR-related lipid transfer domain containing 7
ENSRNOG00000013480,Ing2,"inhibitor of growth family, member 2"
ENSRNOG00000013481,Cdh11,cadherin 11
ENSRNOG00000013484,Gsta1,glutathione S-transferase alpha 1
ENSRNOG00000013491,Setx,senataxin
ENSRNOG00000013492,Cap1,cyclase associated actin cytoskeleton regulatory protein 1
ENSRNOG00000013493,Psma4,proteasome 20S subunit alpha 4
ENSRNOG00000013498,Pex14,peroxisomal biogenesis factor 14
ENSRNOG00000013502,Eps15l1,epidermal growth factor receptor pathway substrate 15-like 1
ENSRNOG00000013503,Cdh24,cadherin 24
ENSRNOG00000013505,Vdac2,voltage-dependent anion channel 2
ENSRNOG00000013506,Zfand6,zinc finger AN1-type containing 6
ENSRNOG00000013507,Selenot,selenoprotein T
ENSRNOG00000013508,Rpl31,ribosomal protein L31
ENSRNOG00000013510,Tmem60,transmembrane protein 60
ENSRNOG00000013514,Maf1,"MAF1 homolog, negative regulator of RNA polymerase III"
ENSRNOG00000013515,Ptpru,"protein tyrosine phosphatase, receptor type, U"
ENSRNOG00000013516,Sf3b1,"splicing factor 3b, subunit 1"
ENSRNOG00000013517,Phtf2,putative homeodomain transcription factor 2
ENSRNOG00000013520,Mat2a,methionine adenosyltransferase 2A
ENSRNOG00000013521,Dhfr,dihydrofolate reductase
ENSRNOG00000013526,Rassf4,Ras association domain family member 4
ENSRNOG00000013529,Stk4,serine/threonine kinase 4
ENSRNOG00000013532,Pgam2,phosphoglycerate mutase 2
ENSRNOG00000013533,Acin1,apoptotic chromatin condensation inducer 1
ENSRNOG00000013535,Cdh6,cadherin 6
ENSRNOG00000013536,Cdc42,cell division cycle 42
ENSRNOG00000013538,Capza1,capping actin protein of muscle Z-line subunit alpha 1
ENSRNOG00000013545,Polr2e,RNA polymerase II subunit E
ENSRNOG00000013548,Selenow,selenoprotein W
ENSRNOG00000013552,Scd,stearoyl-CoA desaturase
ENSRNOG00000013553,Ngrn,"neugrin, neurite outgrowth associated"
ENSRNOG00000013555,Ankrd55,ankyrin repeat domain 55
ENSRNOG00000013557,Lancl1,LanC like 1
ENSRNOG00000013562,Ndfip1,Nedd4 family interacting protein 1
ENSRNOG00000013565,Zfp507,zinc finger protein 507
ENSRNOG00000013570,Rad54l2,RAD54 like 2
ENSRNOG00000013572,Lxn,latexin
ENSRNOG00000013573,Atp6v1b1,ATPase H+ transporting V1 subunit B1
ENSRNOG00000013574,Appl1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
ENSRNOG00000013577,Kdelr3,KDEL endoplasmic reticulum protein retention receptor 3
ENSRNOG00000013578,Trem2,triggering receptor expressed on myeloid cells 2
ENSRNOG00000013579,LOC100359916,heterogeneous nuclear ribonucleoprotein K-like
ENSRNOG00000013581,Extl3,exostosin-like glycosyltransferase 3
ENSRNOG00000013583,Tbc1d8,"TBC1 domain family, member 8"
ENSRNOG00000013585,Nmnat3,nicotinamide nucleotide adenylyltransferase 3
ENSRNOG00000013587,Fam135a,"family with sequence similarity 135, member A"
ENSRNOG00000013588,Glra1,"glycine receptor, alpha 1"
ENSRNOG00000013589,Cxcl12,C-X-C motif chemokine ligand 12
ENSRNOG00000013591,Tmem9b,"TMEM9 domain family, member B"
ENSRNOG00000013594,Acp2,"acid phosphatase 2, lysosomal"
ENSRNOG00000013596,Dimt1,DIMT1 rRNA methyltransferase and ribosome maturation factor
ENSRNOG00000013602,Usp48,ubiquitin specific peptidase 48
ENSRNOG00000013603,Dffa,DNA fragmentation factor subunit alpha
ENSRNOG00000013604,Gpx4,glutathione peroxidase 4
ENSRNOG00000013609,AABR07048421.1,
ENSRNOG00000013618,Ankrd10,ankyrin repeat domain 10
ENSRNOG00000013620,Cdk13,cyclin-dependent kinase 13
ENSRNOG00000013623,Amer2,APC membrane recruitment protein 2
ENSRNOG00000013624,Uevld,UEV and lactate/malate dehyrogenase domains
ENSRNOG00000013631,Slc31a2,solute carrier family 31 member 2
ENSRNOG00000013634,Myd88,"MYD88, innate immune signal transduction adaptor"
ENSRNOG00000013636,Ppil3,peptidylprolyl isomerase like 3
ENSRNOG00000013641,Myo7a,myosin VIIA
ENSRNOG00000013642,Lrrc41,leucine rich repeat containing 41
ENSRNOG00000013647,Polm,DNA polymerase mu
ENSRNOG00000013653,Pdlim7,PDZ and LIM domain 7
ENSRNOG00000013656,Lpar1,lysophosphatidic acid receptor 1
ENSRNOG00000013657,Stmn3,stathmin 3
ENSRNOG00000013658,Nefl,neurofilament light
ENSRNOG00000013659,Tex2,testis expressed 2
ENSRNOG00000013660,Cog6,component of oligomeric golgi complex 6
ENSRNOG00000013661,Kif26a,kinesin family member 26A
ENSRNOG00000013662,Erich6,glutamate-rich 6
ENSRNOG00000013663,Tmem86a,transmembrane protein 86A
ENSRNOG00000013668,Capg,"capping actin protein, gelsolin like"
ENSRNOG00000013669,Pik3r4,"phosphoinositide-3-kinase, regulatory subunit 4"
ENSRNOG00000013673,Msh3,mutS homolog 3
ENSRNOG00000013674,Megf10,multiple EGF-like domains 10
ENSRNOG00000013679,Sema4d,semaphorin 4D
ENSRNOG00000013681,Kcns1,"potassium voltage-gated channel, modifier subfamily S, member 1"
ENSRNOG00000013683,S1pr1,sphingosine-1-phosphate receptor 1
ENSRNOG00000013689,Vps18,VPS18 core subunit of CORVET and HOPS complexes
ENSRNOG00000013690,Clba1,clathrin binding box of aftiphilin containing 1
ENSRNOG00000013692,Abhd18,abhydrolase domain containing 18
ENSRNOG00000013694,Ntng2,netrin G2
ENSRNOG00000013703,Siah2,siah E3 ubiquitin protein ligase 2
ENSRNOG00000013704,Cps1,carbamoyl-phosphate synthase 1
ENSRNOG00000013707,Spata13,spermatogenesis associated 13
ENSRNOG00000013712,Tex261,testis expressed 261
ENSRNOG00000013714,Snrpd1,small nuclear ribonucleoprotein D1 polypeptide
ENSRNOG00000013717,Bmp6,bone morphogenetic protein 6
ENSRNOG00000013718,Herc2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
ENSRNOG00000013719,Dph5,diphthamide biosynthesis 5
ENSRNOG00000013720,Aebp1,AE binding protein 1
ENSRNOG00000013721,Nepro,nucleolus and neural progenitor protein
ENSRNOG00000013727,Ndc80,NDC80 kinetochore complex component
ENSRNOG00000013728,Polg2,"DNA polymerase gamma 2, accessory subunit"
ENSRNOG00000013729,RGD1306271,similar to KIAA1549 protein
ENSRNOG00000013733,Ppp4r1,"protein phosphatase 4, regulatory subunit 1"
ENSRNOG00000013734,Dnai1,"dynein, axonemal, intermediate chain 1"
ENSRNOG00000013737,Bcar3,"BCAR3 adaptor protein, NSP family member"
ENSRNOG00000013738,LOC100174910,glutaredoxin-like protein
ENSRNOG00000013741,Ube2d3,ubiquitin-conjugating enzyme E2D 3
ENSRNOG00000013742,Large1,LARGE xylosyl- and glucuronyltransferase 1
ENSRNOG00000013743,Sec61a1,Sec61 translocon alpha 1 subunit
ENSRNOG00000013744,Akip1,A-kinase interacting protein 1
ENSRNOG00000013746,Senp3,SUMO specific peptidase 3
ENSRNOG00000013747,Sh3bp2,SH3-domain binding protein 2
ENSRNOG00000013751,Plpbp,pyridoxal phosphate binding protein
ENSRNOG00000013752,Elavl3,ELAV like RNA binding protein 3
ENSRNOG00000013756,Snrnp48,small nuclear ribonucleoprotein U11/U12 subunit 48
ENSRNOG00000013763,Erlin2,ER lipid raft associated 2
ENSRNOG00000013764,Fam118a,"family with sequence similarity 118, member A"
ENSRNOG00000013766,Acaa2,acetyl-CoA acyltransferase 2
ENSRNOG00000013767,Ccdc61,coiled-coil domain containing 61
ENSRNOG00000013770,Folh1,folate hydrolase 1
ENSRNOG00000013773,Secisbp2,SECIS binding protein 2
ENSRNOG00000013774,Lmnb1,lamin B1
ENSRNOG00000013777,Rnf166,ring finger protein 166
ENSRNOG00000013780,Nf1,neurofibromin 1
ENSRNOG00000013781,Kcnq5,potassium voltage-gated channel subfamily Q member 5
ENSRNOG00000013783,Efhd2,"EF-hand domain family, member D2"
ENSRNOG00000013790,Mfsd1,major facilitator superfamily domain containing 1
ENSRNOG00000013791,Enpp3,ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSRNOG00000013793,C1qtnf9,C1q and TNF related 9
ENSRNOG00000013794,Rbp1,retinol binding protein 1
ENSRNOG00000013795,Asb7,ankyrin repeat and SOCS box-containing 7
ENSRNOG00000013798,Fnbp1l,formin binding protein 1-like
ENSRNOG00000013802,Slc25a36,solute carrier family 25 member 36
ENSRNOG00000013804,Exoc5,exocyst complex component 5
ENSRNOG00000013805,Tnip2,TNFAIP3 interacting protein 2
ENSRNOG00000013806,Mplkip,M-phase specific PLK1 interacting protein
ENSRNOG00000013807,Dmc1,DNA meiotic recombinase 1
ENSRNOG00000013809,Kbtbd2,kelch repeat and BTB domain containing 2
ENSRNOG00000013813,Ubtd1,ubiquitin domain containing 1
ENSRNOG00000013816,Cmas,cytidine monophosphate N-acetylneuraminic acid synthetase
ENSRNOG00000013825,Rap1gap,Rap1 GTPase-activating protein
ENSRNOG00000013828,Sirt3,sirtuin 3
ENSRNOG00000013829,Chrna3,cholinergic receptor nicotinic alpha 3 subunit
ENSRNOG00000013832,Fam193a,"family with sequence similarity 193, member A"
ENSRNOG00000013836,Arhgap17,Rho GTPase activating protein 17
ENSRNOG00000013837,Tp53bp1,tumor protein p53 binding protein 1
ENSRNOG00000013838,Hcrtr1,hypocretin receptor 1
ENSRNOG00000013841,Dcaf1,DDB1 and CUL4 associated factor 1
ENSRNOG00000013844,Fam172a,"family with sequence similarity 172, member A"
ENSRNOG00000013845,Mrpl21,mitochondrial ribosomal protein L21
ENSRNOG00000013847,Nova2,NOVA alternative splicing regulator 2
ENSRNOG00000013850,Hes5,hes family bHLH transcription factor 5
ENSRNOG00000013851,Spry4,sprouty RTK signaling antagonist 4
ENSRNOG00000013852,Med20,mediator complex subunit 20
ENSRNOG00000013855,Zmym1,zinc finger MYM-type containing 1
ENSRNOG00000013859,Bpifa1,"BPI fold containing family A, member 1"
ENSRNOG00000013862,Dusp2,dual specificity phosphatase 2
ENSRNOG00000013865,Zmym6,zinc finger MYM-type containing 6
ENSRNOG00000013866,Usp49,ubiquitin specific peptidase 49
ENSRNOG00000013867,Fgf1,fibroblast growth factor 1
ENSRNOG00000013869,Kcnj4,"potassium inwardly-rectifying channel, subfamily J, member 4"
ENSRNOG00000013872,P2ry14,purinergic receptor P2Y14
ENSRNOG00000013874,Rplp1,ribosomal protein lateral stalk subunit P1
ENSRNOG00000013875,Fbxl17,F-box and leucine-rich repeat protein 17
ENSRNOG00000013876,Mipep,mitochondrial intermediate peptidase
ENSRNOG00000013877,Ttc23,tetratricopeptide repeat domain 23
ENSRNOG00000013878,Hmgxb4,HMG-box containing 4
ENSRNOG00000013884,Psd3,pleckstrin and Sec7 domain containing 3
ENSRNOG00000013886,Fyb1,FYN binding protein 1
ENSRNOG00000013889,Tmed3,transmembrane p24 trafficking protein 3
ENSRNOG00000013892,Cby1,"chibby family member 1, beta catenin antagonist"
ENSRNOG00000013895,Npdc1,"neural proliferation, differentiation and control, 1"
ENSRNOG00000013898,Cdca4,cell division cycle associated 4
ENSRNOG00000013902,P2ry12,purinergic receptor P2Y12
ENSRNOG00000013907,Sall1,spalt-like transcription factor 1
ENSRNOG00000013911,Nagk,N-acetylglucosamine kinase
ENSRNOG00000013912,Slc30a7,solute carrier family 30 member 7
ENSRNOG00000013916,Nefm,neurofilament medium
ENSRNOG00000013917,Igsf10,"immunoglobulin superfamily, member 10"
ENSRNOG00000013919,Ift46,intraflagellar transport 46
ENSRNOG00000013920,Arhgap26,Rho GTPase activating protein 26
ENSRNOG00000013922,Dok2,docking protein 2
ENSRNOG00000013925,Nox4,NADPH oxidase 4
ENSRNOG00000013927,Jag2,jagged canonical Notch ligand 2
ENSRNOG00000013928,Dsp,desmoplakin
ENSRNOG00000013930,Rnf4,ring finger protein 4
ENSRNOG00000013933,Med27,mediator complex subunit 27
ENSRNOG00000013934,Dennd2b,DENN domain containing 2B
ENSRNOG00000013937,Ankrd34c,ankyrin repeat domain 34C
ENSRNOG00000013938,Tshz3,teashirt zinc finger homeobox 3
ENSRNOG00000013945,Itpkc,inositol-trisphosphate 3-kinase C
ENSRNOG00000013946,Rnf149,ring finger protein 149
ENSRNOG00000013947,Rabl2,"RAB, member of RAS oncogene family like 2"
ENSRNOG00000013948,Zc3hav1,"zinc finger CCCH-type containing, antiviral 1"
ENSRNOG00000013949,Idh2,isocitrate dehydrogenase (NADP(+)) 2
ENSRNOG00000013953,Ntrk1,neurotrophic receptor tyrosine kinase 1
ENSRNOG00000013954,Alpl,"alkaline phosphatase, biomineralization associated"
ENSRNOG00000013956,Rnf38,ring finger protein 38
ENSRNOG00000013961,Ghitm,growth hormone inducible transmembrane protein
ENSRNOG00000013962,Magi2,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
ENSRNOG00000013963,Il6st,interleukin 6 signal transducer
ENSRNOG00000013965,Noc3l,NOC3-like DNA replication regulator
ENSRNOG00000013967,Blnk,B-cell linker
ENSRNOG00000013968,Comtd1,catechol-O-methyltransferase domain containing 1
ENSRNOG00000013969,Ahi1,Abelson helper integration site 1
ENSRNOG00000013970,Cdt1,chromatin licensing and DNA replication factor 1
ENSRNOG00000013971,Psat1,phosphoserine aminotransferase 1
ENSRNOG00000013972,Pef1,penta-EF hand domain containing 1
ENSRNOG00000013973,Lcn2,lipocalin 2
ENSRNOG00000013974,Fahd2a,fumarylacetoacetate hydrolase domain containing 2A
ENSRNOG00000013975,Acat2l1,acetyl-CoA acetyltransferase 2-like 1
ENSRNOG00000013977,Bzw1,basic leucine zipper and W2 domains 1
ENSRNOG00000013981,Ptpn5,"protein tyrosine phosphatase, non-receptor type 5"
ENSRNOG00000013987,Sbno2,strawberry notch homolog 2
ENSRNOG00000013991,Creg2,cellular repressor of E1A-stimulated genes 2
ENSRNOG00000013992,Arfrp1,ADP-ribosylation factor related protein 1
